Date	pH	Cl-
20160101	5.0	1.00E-10
20160102	5.0	1.00E-10
20160103	5.0	1.00E-10
20160104	5.0	1.00E-10
20160105	5.0	1.00E-10
20160106	5.0	1.00E-5
20160107	5.0	1.00E-5
20160108	5.0	1.00E-10
20160109	5.0	1.00E-10
20160110	5.0	1.00E-10
20160111	5.0	1.00E-10
20160112	5.0	1.00E-10
20160113	5.0	1.00E-10
20160114	5.0	1.00E-10
20160115	5.0	1.00E-10
20160116	5.0	1.00E-10
20160117	5.0	1.00E-10
20160118	5.0	1.00E-10
20160119	5.0	1.00E-10
20160120	5.0	1.00E-10
20160121	5.0	1.00E-10
20160122	5.0	1.00E-10
20160123	5.0	1.00E-10
20160124	5.0	1.00E-10
20160125	5.0	1.00E-10
20160126	5.0	1.00E-10
20160127	5.0	1.00E-10
20160128	5.0	1.00E-10
20160129	5.0	1.00E-10
20160130	5.0	1.00E-10
20160131	5.0	1.00E-10
20160201	5.0	1.00E-10
20160202	5.0	1.00E-10
20160203	5.0	1.00E-10
20160204	5.0	1.00E-10
20160205	5.0	1.00E-10
20160206	5.0	1.00E-10
20160207	5.0	1.00E-10
20160208	5.0	1.00E-10
20160209	5.0	1.00E-10
20160210	5.0	1.00E-10
20160211	5.0	1.00E-10
20160212	5.0	1.00E-10
20160213	5.0	1.00E-10
20160214	5.0	1.00E-10
20160215	5.0	1.00E-10
20160216	5.0	1.00E-10
20160217	5.0	1.00E-10
20160218	5.0	1.00E-10
20160219	5.0	1.00E-10
20160220	5.0	1.00E-10
20160221	5.0	1.00E-10
20160222	5.0	1.00E-10
20160223	5.0	1.00E-10
20160224	5.0	1.00E-10
20160225	5.0	1.00E-10
20160226	5.0	1.00E-10
20160227	5.0	1.00E-10
20160228	5.0	1.00E-10
20160229	5.0	1.00E-10
20160301	5.0	1.00E-10
20160302	5.0	1.00E-10
20160303	5.0	1.00E-10
20160304	5.0	1.00E-10
20160305	5.0	1.00E-10
20160306	5.0	1.00E-10
20160307	5.0	1.00E-10
20160308	5.0	1.00E-10
20160309	5.0	1.00E-10
20160310	5.0	1.00E-10
20160311	5.0	1.00E-10
20160312	5.0	1.00E-10
20160313	5.0	1.00E-10
20160314	5.0	1.00E-10
20160315	5.0	1.00E-10
20160316	5.0	1.00E-10
20160317	5.0	1.00E-10
20160318	5.0	1.00E-10
20160319	5.0	1.00E-10
20160320	5.0	1.00E-10
20160321	5.0	1.00E-10
20160322	5.0	1.00E-10
20160323	5.0	1.00E-10
20160324	5.0	1.00E-10
20160325	5.0	1.00E-10
20160326	5.0	1.00E-10
20160327	5.0	1.00E-10
20160328	5.0	1.00E-10
20160329	5.0	1.00E-10
20160330	5.0	1.00E-10
20160331	5.0	1.00E-10
20160401	5.0	1.00E-10
20160402	5.0	1.00E-10
20160403	5.0	1.00E-10
20160404	5.0	1.00E-10
20160405	5.0	1.00E-10
20160406	5.0	1.00E-10
20160407	5.0	1.00E-10
20160408	5.0	1.00E-10
20160409	5.0	1.00E-10
20160410	5.0	1.00E-10
20160411	5.0	1.00E-10
20160412	5.0	1.00E-10
20160413	5.0	1.00E-10
20160414	5.0	1.00E-10
20160415	5.0	1.00E-10
20160416	5.0	1.00E-10
20160417	5.0	1.00E-10
20160418	5.0	1.00E-10
20160419	5.0	1.00E-10
20160420	5.0	1.00E-10
20160421	5.0	1.00E-10
20160422	5.0	1.00E-10
20160423	5.0	1.00E-10
20160424	5.0	1.00E-10
20160425	5.0	1.00E-10
20160426	5.0	1.00E-10
20160427	5.0	1.00E-10
20160428	5.0	1.00E-10
20160429	5.0	1.00E-10
20160430	5.0	1.00E-10
20160501	5.0	1.00E-10
20160502	5.0	1.00E-10
20160503	5.0	1.00E-10
20160504	5.0	1.00E-10
20160505	5.0	1.00E-10
20160506	5.0	1.00E-10
20160507	5.0	1.00E-10
20160508	5.0	1.00E-10
20160509	5.0	1.00E-10
20160510	5.0	1.00E-10
20160511	5.0	1.00E-10
20160512	5.0	1.00E-10
20160513	5.0	1.00E-10
20160514	5.0	1.00E-10
20160515	5.0	1.00E-10
20160516	5.0	1.00E-10
20160517	5.0	1.00E-10
20160518	5.0	1.00E-10
20160519	5.0	1.00E-10
20160520	5.0	1.00E-10
20160521	5.0	1.00E-10
20160522	5.0	1.00E-10
