Date	pH	Cl-	DOC	CO2(aq)	SOC	CO2(s)
20160101	5	1.00E-07	1.00E-08	1.00E-08	1.0E-10	1.0E-10
20160102	5	1.05E-07	1.00E-08	1.00E-08	1.0E-10	1.0E-10
20160103	5	1.10E-07	1.00E-08	1.00E-08	1.0E-10	1.0E-10
20160104	5	1.15E-07	1.00E-08	1.00E-08	1.0E-10	1.0E-10
20160105	5	1.20E-07	1.00E-08	1.00E-08	1.0E-10	1.0E-10
20160106	5	1.25E-07	1.00E-08	1.00E-08	1.0E-10	1.0E-10
20160107	5	1.30E-07	1.00E-08	1.00E-08	1.0E-10	1.0E-10
20160108	5	1.35E-07	1.00E-08	1.00E-08	1.0E-10	1.0E-10
20160109	5	1.40E-07	1.00E-08	1.00E-08	1.0E-10	1.0E-10
20160110	5	1.45E-07	1.00E-08	1.00E-08	1.0E-10	1.0E-10
20160111	5	1.50E-07	1.00E-08	1.00E-08	1.0E-10	1.0E-10
20160112	5	1.55E-07	1.00E-08	1.00E-08	1.0E-10	1.0E-10
20160113	5	1.60E-07	1.00E-08	1.00E-08	1.0E-10	1.0E-10
20160114	5	1.65E-07	1.00E-08	1.00E-08	1.0E-10	1.0E-10
20160115	5	1.70E-07	1.00E-08	1.00E-08	1.0E-10	1.0E-10
20160116	5	1.75E-07	1.00E-08	1.00E-08	1.0E-10	1.0E-10
20160117	5	1.80E-07	1.00E-08	1.00E-08	1.0E-10	1.0E-10
20160118	5	1.85E-07	1.00E-08	1.00E-08	1.0E-10	1.0E-10
20160119	5	1.90E-07	1.00E-08	1.00E-08	1.0E-10	1.0E-10
20160120	5	1.95E-07	1.00E-08	1.00E-08	1.0E-10	1.0E-10
20160121	5	2.00E-07	1.00E-08	1.00E-08	1.0E-10	1.0E-10
20160122	5	2.05E-07	1.00E-08	1.00E-08	1.0E-10	1.0E-10
20160123	5	2.10E-07	1.00E-08	1.00E-08	1.0E-10	1.0E-10
20160124	5	2.15E-07	1.00E-08	1.00E-08	1.0E-10	1.0E-10
20160125	5	2.20E-07	1.00E-08	1.00E-08	1.0E-10	1.0E-10
20160126	5	2.25E-07	1.00E-08	1.00E-08	1.0E-10	1.0E-10
20160127	5	2.30E-07	1.00E-08	1.00E-08	1.0E-10	1.0E-10
20160128	5	2.35E-07	1.00E-08	1.00E-08	1.0E-10	1.0E-10
20160129	5	2.40E-07	1.00E-08	1.00E-08	1.0E-10	1.0E-10
20160130	5	2.45E-07	1.00E-08	1.00E-08	1.0E-10	1.0E-10
20160131	5	2.50E-07	1.00E-08	1.00E-08	1.0E-10	1.0E-10
20160201	5	1.00E-07	1.00E-08	1.00E-08	1.0E-10	1.0E-10
20160202	5	1.05E-07	1.00E-08	1.00E-08	1.0E-10	1.0E-10
20160203	5	1.10E-07	1.00E-08	1.00E-08	1.0E-10	1.0E-10
20160204	5	1.15E-07	1.00E-08	1.00E-08	1.0E-10	1.0E-10
20160205	5	1.20E-07	1.00E-08	1.00E-08	1.0E-10	1.0E-10
20160206	5	1.25E-07	1.00E-08	1.00E-08	1.0E-10	1.0E-10
20160207	5	1.30E-07	1.00E-08	1.00E-08	1.0E-10	1.0E-10
20160208	5	1.35E-07	1.00E-08	1.00E-08	1.0E-10	1.0E-10
20160209	5	1.40E-07	1.00E-08	1.00E-08	1.0E-10	1.0E-10
20160210	5	1.45E-07	1.00E-08	1.00E-08	1.0E-10	1.0E-10
20160211	5	1.50E-07	1.00E-08	1.00E-08	1.0E-10	1.0E-10
20160212	5	1.55E-07	1.00E-08	1.00E-08	1.0E-10	1.0E-10
20160213	5	1.60E-07	1.00E-08	1.00E-08	1.0E-10	1.0E-10
20160214	5	1.65E-07	1.00E-08	1.00E-08	1.0E-10	1.0E-10
20160215	5	1.70E-07	1.00E-08	1.00E-08	1.0E-10	1.0E-10
20160216	5	1.75E-07	1.00E-08	1.00E-08	1.0E-10	1.0E-10
20160217	5	1.80E-07	1.00E-08	1.00E-08	1.0E-10	1.0E-10
20160218	5	1.85E-07	1.00E-08	1.00E-08	1.0E-10	1.0E-10
20160219	5	1.90E-07	1.00E-08	1.00E-08	1.0E-10	1.0E-10
20160220	5	1.95E-07	1.00E-08	1.00E-08	1.0E-10	1.0E-10
20160221	5	2.00E-07	1.00E-08	1.00E-08	1.0E-10	1.0E-10
20160222	5	2.05E-07	1.00E-08	1.00E-08	1.0E-10	1.0E-10
20160223	5	2.10E-07	1.00E-08	1.00E-08	1.0E-10	1.0E-10
20160224	5	2.15E-07	1.00E-08	1.00E-08	1.0E-10	1.0E-10
20160225	5	2.20E-07	1.00E-08	1.00E-08	1.0E-10	1.0E-10
20160226	5	2.25E-07	1.00E-08	1.00E-08	1.0E-10	1.0E-10
20160227	5	2.30E-07	1.00E-08	1.00E-08	1.0E-10	1.0E-10
20160228	5	2.35E-07	1.00E-08	1.00E-08	1.0E-10	1.0E-10
20160229	5	2.40E-07	1.00E-08	1.00E-08	1.0E-10	1.0E-10
20160301	5	2.45E-07	1.00E-08	1.00E-08	1.0E-10	1.0E-10
20160302	5	2.50E-07	1.00E-08	1.00E-08	1.0E-10	1.0E-10
20160303	5	1.00E-07	1.00E-08	1.00E-08	1.0E-10	1.0E-10
20160304	5	1.05E-07	1.00E-08	1.00E-08	1.0E-10	1.0E-10
20160305	5	1.10E-07	1.00E-08	1.00E-08	1.0E-10	1.0E-10
20160306	5	1.15E-07	1.00E-08	1.00E-08	1.0E-10	1.0E-10
20160307	5	1.20E-07	1.00E-08	1.00E-08	1.0E-10	1.0E-10
20160308	5	1.25E-07	1.00E-08	1.00E-08	1.0E-10	1.0E-10
20160309	5	1.30E-07	1.00E-08	1.00E-08	1.0E-10	1.0E-10
20160310	5	1.35E-07	1.00E-08	1.00E-08	1.0E-10	1.0E-10
20160311	5	1.40E-07	1.00E-08	1.00E-08	1.0E-10	1.0E-10
20160312	5	1.45E-07	1.00E-08	1.00E-08	1.0E-10	1.0E-10
20160313	5	1.50E-07	1.00E-08	1.00E-08	1.0E-10	1.0E-10
20160314	5	1.55E-07	1.00E-08	1.00E-08	1.0E-10	1.0E-10
20160315	5	1.60E-07	1.00E-08	1.00E-08	1.0E-10	1.0E-10
20160316	5	1.65E-07	1.00E-08	1.00E-08	1.0E-10	1.0E-10
20160317	5	1.70E-07	1.00E-08	1.00E-08	1.0E-10	1.0E-10
20160318	5	1.75E-07	1.00E-08	1.00E-08	1.0E-10	1.0E-10
20160319	5	1.80E-07	1.00E-08	1.00E-08	1.0E-10	1.0E-10
20160320	5	1.85E-07	1.00E-08	1.00E-08	1.0E-10	1.0E-10
20160321	5	1.90E-07	1.00E-08	1.00E-08	1.0E-10	1.0E-10
20160322	5	1.95E-07	1.00E-08	1.00E-08	1.0E-10	1.0E-10
20160323	5	2.00E-07	1.00E-08	1.00E-08	1.0E-10	1.0E-10
20160324	5	2.05E-07	1.00E-08	1.00E-08	1.0E-10	1.0E-10
20160325	5	2.10E-07	1.00E-08	1.00E-08	1.0E-10	1.0E-10
20160326	5	2.15E-07	1.00E-08	1.00E-08	1.0E-10	1.0E-10
20160327	5	2.20E-07	1.00E-08	1.00E-08	1.0E-10	1.0E-10
20160328	5	2.25E-07	1.00E-08	1.00E-08	1.0E-10	1.0E-10
20160329	5	2.30E-07	1.00E-08	1.00E-08	1.0E-10	1.0E-10
20160330	5	2.35E-07	1.00E-08	1.00E-08	1.0E-10	1.0E-10
20160331	5	2.40E-07	1.00E-08	1.00E-08	1.0E-10	1.0E-10
20160401	5	2.45E-07	1.00E-08	1.00E-08	1.0E-10	1.0E-10
20160402	5	2.50E-07	1.00E-08	1.00E-08	1.0E-10	1.0E-10
20160403	5	1.00E-07	1.00E-08	1.00E-08	1.0E-10	1.0E-10
20160404	5	1.05E-07	1.00E-08	1.00E-08	1.0E-10	1.0E-10
20160405	5	1.10E-07	1.00E-08	1.00E-08	1.0E-10	1.0E-10
20160406	5	1.15E-07	1.00E-08	1.00E-08	1.0E-10	1.0E-10
20160407	5	1.20E-07	1.00E-08	1.00E-08	1.0E-10	1.0E-10
20160408	5	1.25E-07	1.00E-08	1.00E-08	1.0E-10	1.0E-10
20160409	5	1.30E-07	1.00E-08	1.00E-08	1.0E-10	1.0E-10
20160410	5	1.35E-07	1.00E-08	1.00E-08	1.0E-10	1.0E-10
20160411	5	1.40E-07	1.00E-08	1.00E-08	1.0E-10	1.0E-10
20160412	5	1.45E-07	1.00E-08	1.00E-08	1.0E-10	1.0E-10
20160413	5	1.50E-07	1.00E-08	1.00E-08	1.0E-10	1.0E-10
20160414	5	1.55E-07	1.00E-08	1.00E-08	1.0E-10	1.0E-10
20160415	5	1.60E-07	1.00E-08	1.00E-08	1.0E-10	1.0E-10
20160416	5	1.65E-07	1.00E-08	1.00E-08	1.0E-10	1.0E-10
20160417	5	1.70E-07	1.00E-08	1.00E-08	1.0E-10	1.0E-10
20160418	5	1.75E-07	1.00E-08	1.00E-08	1.0E-10	1.0E-10
20160419	5	1.80E-07	1.00E-08	1.00E-08	1.0E-10	1.0E-10
20160420	5	1.85E-07	1.00E-08	1.00E-08	1.0E-10	1.0E-10
20160421	5	1.90E-07	1.00E-08	1.00E-08	1.0E-10	1.0E-10
20160422	5	1.95E-07	1.00E-08	1.00E-08	1.0E-10	1.0E-10
20160423	5	2.00E-07	1.00E-08	1.00E-08	1.0E-10	1.0E-10
20160424	5	2.05E-07	1.00E-08	1.00E-08	1.0E-10	1.0E-10
20160425	5	2.10E-07	1.00E-08	1.00E-08	1.0E-10	1.0E-10
20160426	5	2.15E-07	1.00E-08	1.00E-08	1.0E-10	1.0E-10
20160427	5	2.20E-07	1.00E-08	1.00E-08	1.0E-10	1.0E-10
20160428	5	2.25E-07	1.00E-08	1.00E-08	1.0E-10	1.0E-10
20160429	5	2.30E-07	1.00E-08	1.00E-08	1.0E-10	1.0E-10
20160430	5	2.35E-07	1.00E-08	1.00E-08	1.0E-10	1.0E-10
20160501	5	2.40E-07	1.00E-08	1.00E-08	1.0E-10	1.0E-10
20160502	5	2.45E-07	1.00E-08	1.00E-08	1.0E-10	1.0E-10
20160503	5	2.50E-07	1.00E-08	1.00E-08	1.0E-10	1.0E-10
20160504	5	1.00E-07	1.00E-08	1.00E-08	1.0E-10	1.0E-10
20160505	5	1.05E-07	1.00E-08	1.00E-08	1.0E-10	1.0E-10
20160506	5	1.10E-07	1.00E-08	1.00E-08	1.0E-10	1.0E-10
20160507	5	1.15E-07	1.00E-08	1.00E-08	1.0E-10	1.0E-10
20160508	5	1.20E-07	1.00E-08	1.00E-08	1.0E-10	1.0E-10
20160509	5	1.25E-07	1.00E-08	1.00E-08	1.0E-10	1.0E-10
20160510	5	1.30E-07	1.00E-08	1.00E-08	1.0E-10	1.0E-10
20160511	5	1.35E-07	1.00E-08	1.00E-08	1.0E-10	1.0E-10
20160512	5	1.40E-07	1.00E-08	1.00E-08	1.0E-10	1.0E-10
20160513	5	1.45E-07	1.00E-08	1.00E-08	1.0E-10	1.0E-10
20160514	5	1.50E-07	1.00E-08	1.00E-08	1.0E-10	1.0E-10
20160515	5	1.55E-07	1.00E-08	1.00E-08	1.0E-10	1.0E-10
20160516	5	1.60E-07	1.00E-08	1.00E-08	1.0E-10	1.0E-10
20160517	5	1.65E-07	1.00E-08	1.00E-08	1.0E-10	1.0E-10
20160518	5	1.70E-07	1.00E-08	1.00E-08	1.0E-10	1.0E-10
20160519	5	1.75E-07	1.00E-08	1.00E-08	1.0E-10	1.0E-10
20160520	5	1.80E-07	1.00E-08	1.00E-08	1.0E-10	1.0E-10
20160521	5	1.85E-07	1.00E-08	1.00E-08	1.0E-10	1.0E-10
20160522	5	1.90E-07	1.00E-08	1.00E-08	1.0E-10	1.0E-10
20160523	5	1.95E-07	1.00E-08	1.00E-08	1.0E-10	1.0E-10
20160524	5	2.00E-07	1.00E-08	1.00E-08	1.0E-10	1.0E-10
20160525	5	2.05E-07	1.00E-08	1.00E-08	1.0E-10	1.0E-10
20160526	5	2.10E-07	1.00E-08	1.00E-08	1.0E-10	1.0E-10
20160527	5	2.15E-07	1.00E-08	1.00E-08	1.0E-10	1.0E-10
20160528	5	2.20E-07	1.00E-08	1.00E-08	1.0E-10	1.0E-10
20160529	5	2.25E-07	1.00E-08	1.00E-08	1.0E-10	1.0E-10
20160530	5	2.30E-07	1.00E-08	1.00E-08	1.0E-10	1.0E-10
20160531	5	2.35E-07	1.00E-08	1.00E-08	1.0E-10	1.0E-10
20160601	5	2.40E-07	1.00E-08	1.00E-08	1.0E-10	1.0E-10
20160602	5	2.45E-07	1.00E-08	1.00E-08	1.0E-10	1.0E-10
20160603	5	2.50E-07	1.00E-08	1.00E-08	1.0E-10	1.0E-10
20160604	5	1.00E-07	1.00E-08	1.00E-08	1.0E-10	1.0E-10
20160605	5	1.05E-07	1.00E-08	1.00E-08	1.0E-10	1.0E-10
20160606	5	1.10E-07	1.00E-08	1.00E-08	1.0E-10	1.0E-10
20160607	5	1.15E-07	1.00E-08	1.00E-08	1.0E-10	1.0E-10
20160608	5	1.20E-07	1.00E-08	1.00E-08	1.0E-10	1.0E-10
20160609	5	1.25E-07	1.00E-08	1.00E-08	1.0E-10	1.0E-10
20160610	5	1.30E-07	1.00E-08	1.00E-08	1.0E-10	1.0E-10
20160611	5	1.35E-07	1.00E-08	1.00E-08	1.0E-10	1.0E-10
20160612	5	1.40E-07	1.00E-08	1.00E-08	1.0E-10	1.0E-10
20160613	5	1.45E-07	1.00E-08	1.00E-08	1.0E-10	1.0E-10
20160614	5	1.50E-07	1.00E-08	1.00E-08	1.0E-10	1.0E-10
20160615	5	1.55E-07	1.00E-08	1.00E-08	1.0E-10	1.0E-10
20160616	5	1.60E-07	1.00E-08	1.00E-08	1.0E-10	1.0E-10
20160617	5	1.65E-07	1.00E-08	1.00E-08	1.0E-10	1.0E-10
20160618	5	1.70E-07	1.00E-08	1.00E-08	1.0E-10	1.0E-10
20160619	5	1.75E-07	1.00E-08	1.00E-08	1.0E-10	1.0E-10
20160620	5	1.80E-07	1.00E-08	1.00E-08	1.0E-10	1.0E-10
20160621	5	1.85E-07	1.00E-08	1.00E-08	1.0E-10	1.0E-10
20160622	5	1.90E-07	1.00E-08	1.00E-08	1.0E-10	1.0E-10
20160623	5	1.95E-07	1.00E-08	1.00E-08	1.0E-10	1.0E-10
20160624	5	2.00E-07	1.00E-08	1.00E-08	1.0E-10	1.0E-10
20160625	5	2.05E-07	1.00E-08	1.00E-08	1.0E-10	1.0E-10
20160626	5	2.10E-07	1.00E-08	1.00E-08	1.0E-10	1.0E-10
20160627	5	2.15E-07	1.00E-08	1.00E-08	1.0E-10	1.0E-10
20160628	5	2.20E-07	1.00E-08	1.00E-08	1.0E-10	1.0E-10
20160629	5	2.25E-07	1.00E-08	1.00E-08	1.0E-10	1.0E-10
20160630	5	2.30E-07	1.00E-08	1.00E-08	1.0E-10	1.0E-10
20160701	5	2.35E-07	1.00E-08	1.00E-08	1.0E-10	1.0E-10
20160702	5	2.40E-07	1.00E-08	1.00E-08	1.0E-10	1.0E-10
20160703	5	2.45E-07	1.00E-08	1.00E-08	1.0E-10	1.0E-10
20160704	5	2.50E-07	1.00E-08	1.00E-08	1.0E-10	1.0E-10
20160705	5	1.00E-07	1.00E-08	1.00E-08	1.0E-10	1.0E-10
20160706	5	1.05E-07	1.00E-08	1.00E-08	1.0E-10	1.0E-10
20160707	5	1.10E-07	1.00E-08	1.00E-08	1.0E-10	1.0E-10
20160708	5	1.15E-07	1.00E-08	1.00E-08	1.0E-10	1.0E-10
20160709	5	1.20E-07	1.00E-08	1.00E-08	1.0E-10	1.0E-10
20160710	5	1.25E-07	1.00E-08	1.00E-08	1.0E-10	1.0E-10
20160711	5	1.30E-07	1.00E-08	1.00E-08	1.0E-10	1.0E-10
20160712	5	1.35E-07	1.00E-08	1.00E-08	1.0E-10	1.0E-10
20160713	5	1.40E-07	1.00E-08	1.00E-08	1.0E-10	1.0E-10
20160714	5	1.45E-07	1.00E-08	1.00E-08	1.0E-10	1.0E-10
20160715	5	1.50E-07	1.00E-08	1.00E-08	1.0E-10	1.0E-10
20160716	5	1.55E-07	1.00E-08	1.00E-08	1.0E-10	1.0E-10
20160717	5	1.60E-07	1.00E-08	1.00E-08	1.0E-10	1.0E-10
20160718	5	1.65E-07	1.00E-08	1.00E-08	1.0E-10	1.0E-10
20160719	5	1.70E-07	1.00E-08	1.00E-08	1.0E-10	1.0E-10
20160720	5	1.75E-07	1.00E-08	1.00E-08	1.0E-10	1.0E-10
20160721	5	1.80E-07	1.00E-08	1.00E-08	1.0E-10	1.0E-10
20160722	5	1.85E-07	1.00E-08	1.00E-08	1.0E-10	1.0E-10
20160723	5	1.90E-07	1.00E-08	1.00E-08	1.0E-10	1.0E-10
20160724	5	1.95E-07	1.00E-08	1.00E-08	1.0E-10	1.0E-10
20160725	5	2.00E-07	1.00E-08	1.00E-08	1.0E-10	1.0E-10
20160726	5	2.05E-07	1.00E-08	1.00E-08	1.0E-10	1.0E-10
20160727	5	2.10E-07	1.00E-08	1.00E-08	1.0E-10	1.0E-10
20160728	5	2.15E-07	1.00E-08	1.00E-08	1.0E-10	1.0E-10
20160729	5	2.20E-07	1.00E-08	1.00E-08	1.0E-10	1.0E-10
20160730	5	2.25E-07	1.00E-08	1.00E-08	1.0E-10	1.0E-10
20160731	5	2.30E-07	1.00E-08	1.00E-08	1.0E-10	1.0E-10
20160801	5	2.35E-07	1.00E-08	1.00E-08	1.0E-10	1.0E-10
20160802	5	2.40E-07	1.00E-08	1.00E-08	1.0E-10	1.0E-10
20160803	5	2.45E-07	1.00E-08	1.00E-08	1.0E-10	1.0E-10
20160804	5	2.50E-07	1.00E-08	1.00E-08	1.0E-10	1.0E-10
20160805	5	1.00E-07	1.00E-08	1.00E-08	1.0E-10	1.0E-10
20160806	5	1.05E-07	1.00E-08	1.00E-08	1.0E-10	1.0E-10
20160807	5	1.10E-07	1.00E-08	1.00E-08	1.0E-10	1.0E-10
20160808	5	1.15E-07	1.00E-08	1.00E-08	1.0E-10	1.0E-10
20160809	5	1.20E-07	1.00E-08	1.00E-08	1.0E-10	1.0E-10
20160810	5	1.25E-07	1.00E-08	1.00E-08	1.0E-10	1.0E-10
20160811	5	1.30E-07	1.00E-08	1.00E-08	1.0E-10	1.0E-10
20160812	5	1.35E-07	1.00E-08	1.00E-08	1.0E-10	1.0E-10
20160813	5	1.40E-07	1.00E-08	1.00E-08	1.0E-10	1.0E-10
20160814	5	1.45E-07	1.00E-08	1.00E-08	1.0E-10	1.0E-10
20160815	5	1.50E-07	1.00E-08	1.00E-08	1.0E-10	1.0E-10
20160816	5	1.55E-07	1.00E-08	1.00E-08	1.0E-10	1.0E-10
20160817	5	1.60E-07	1.00E-08	1.00E-08	1.0E-10	1.0E-10
20160818	5	1.65E-07	1.00E-08	1.00E-08	1.0E-10	1.0E-10
20160819	5	1.70E-07	1.00E-08	1.00E-08	1.0E-10	1.0E-10
20160820	5	1.75E-07	1.00E-08	1.00E-08	1.0E-10	1.0E-10
20160821	5	1.80E-07	1.00E-08	1.00E-08	1.0E-10	1.0E-10
20160822	5	1.85E-07	1.00E-08	1.00E-08	1.0E-10	1.0E-10
20160823	5	1.90E-07	1.00E-08	1.00E-08	1.0E-10	1.0E-10
20160824	5	1.95E-07	1.00E-08	1.00E-08	1.0E-10	1.0E-10
20160825	5	2.00E-07	1.00E-08	1.00E-08	1.0E-10	1.0E-10
20160826	5	2.05E-07	1.00E-08	1.00E-08	1.0E-10	1.0E-10
20160827	5	2.10E-07	1.00E-08	1.00E-08	1.0E-10	1.0E-10
20160828	5	2.15E-07	1.00E-08	1.00E-08	1.0E-10	1.0E-10
20160829	5	2.20E-07	1.00E-08	1.00E-08	1.0E-10	1.0E-10
20160830	5	2.25E-07	1.00E-08	1.00E-08	1.0E-10	1.0E-10
20160831	5	2.30E-07	1.00E-08	1.00E-08	1.0E-10	1.0E-10
20160901	5	2.35E-07	1.00E-08	1.00E-08	1.0E-10	1.0E-10
20160902	5	2.40E-07	1.00E-08	1.00E-08	1.0E-10	1.0E-10
20160903	5	2.45E-07	1.00E-08	1.00E-08	1.0E-10	1.0E-10
20160904	5	2.50E-07	1.00E-08	1.00E-08	1.0E-10	1.0E-10
20160905	5	1.00E-07	1.00E-08	1.00E-08	1.0E-10	1.0E-10
20160906	5	1.05E-07	1.00E-08	1.00E-08	1.0E-10	1.0E-10
