Date	Qsim	Qobs	Precipitation	Temperature	AET	PET	Snow	Snowcover	SM	Recharge	SUZ	SLZ	Q0	Q1	Q2	Qsim_rain	Qsim_snow
20160101	0.7024416946	0.610150228	0.0	-1.5	0.00	0.81	1.3	1.00	77.1	0.0	0.0	20.9	0.000	0.000	0.7024416946	0.564	0.139
20160102	0.6795689251	0.595793752	0.0	-0.4	0.00	1.00	1.3	1.00	77.1	0.0	0.0	20.2	0.000	0.000	0.6795689251	0.545	0.134
20160103	0.6574409343	0.552724324	0.0	-2.0	0.00	0.75	1.3	1.00	77.1	0.0	0.0	19.5	0.000	0.000	0.6574409343	0.527	0.130
20160104	0.6360334708	0.516833134	0.0	-6.0	0.00	0.47	1.3	1.00	77.1	0.0	0.0	18.9	0.000	0.000	0.6360334708	0.510	0.126
20160105	0.6153230729	0.509654896	0.0	-0.9	0.00	0.96	1.3	1.00	77.1	0.0	0.0	18.3	0.000	0.000	0.6153230729	0.494	0.122
20160106	0.6301978063	0.516833134	0.5	2.0	0.00	0.81	0.0	0.00	77.8	1.1	0.0	18.7	0.000	0.000	0.6301978063	0.506	0.124
20160107	0.9014656103	0.559902562	7.4	4.3	0.92	0.92	0.0	0.00	79.5	4.8	0.3	22.3	0.000	0.1501375078	0.7513281025	0.733	0.168
20160108	0.7369451298	0.5670808	0.0	1.0	0.82	0.82	0.0	0.00	78.7	0.0	0.0	21.9	0.000	0.000	0.7369451298	0.597	0.140
20160109	0.7129488662	0.502476658	0.0	-6.9	0.47	0.47	0.0	0.00	78.2	0.0	0.0	21.2	0.000	0.000	0.7129488662	0.577	0.136
20160110	0.6897339643	0.445050754	0.0	-10.8	0.37	0.37	0.0	0.00	77.8	0.0	0.0	20.5	0.000	0.000	0.6897339643	0.558	0.131
20160111	0.6672749814	0.466585468	0.0	0.7	0.84	0.84	0.0	0.00	77.0	0.0	0.0	19.8	0.000	0.000	0.6672749814	0.540	0.127
20160112	0.6455473036	0.445050754	0.0	-3.2	0.64	0.64	0.0	0.00	76.4	0.0	0.0	19.2	0.000	0.000	0.6455473036	0.523	0.123
20160113	0.6245271182	0.452228992	0.0	3.4	1.65	1.65	0.0	0.00	74.7	0.0	0.0	18.6	0.000	0.000	0.6245271182	0.506	0.119
20160114	0.6041913879	0.480941944	0.0	7.0	1.15	1.15	0.0	0.00	73.6	0.0	0.0	18.0	0.000	0.000	0.6041913879	0.489	0.115
20160115	0.5845178257	0.452228992	0.0	-1.0	0.68	0.68	0.0	0.00	72.9	0.0	0.0	17.4	0.000	0.000	0.5845178257	0.473	0.111
20160116	0.5654848703	0.409159565	0.0	-3.9	0.78	0.78	0.0	0.00	72.1	0.0	0.0	16.8	0.000	0.000	0.5654848703	0.458	0.108
20160117	0.5470716622	0.366090137	0.0	-12.5	0.27	0.27	0.0	0.00	71.8	0.0	0.0	16.3	0.000	0.000	0.5470716622	0.443	0.104
20160118	0.5292580214	0.358911899	0.0	-8.2	0.68	0.68	0.0	0.00	71.1	0.0	0.0	15.7	0.000	0.000	0.5292580214	0.428	0.101
20160119	0.5120244249	0.366090137	0.5	-4.8	0.57	0.57	0.3	1.00	70.6	0.0	0.0	15.2	0.000	0.000	0.5120244249	0.415	0.098
20160120	0.4953519854	0.373268375	2.5	-3.1	0.00	0.68	1.9	1.00	70.6	0.0	0.0	14.7	0.000	0.000	0.4953519854	0.401	0.094
20160121	0.4792224307	0.366090137	2.8	-3.6	0.00	0.62	3.7	1.00	70.6	0.0	0.0	14.2	0.000	0.000	0.4792224307	0.388	0.091
20160122	0.4636180833	0.344555423	0.0	-4.3	0.00	0.59	3.7	1.00	70.6	0.0	0.0	13.8	0.000	0.000	0.4636180833	0.375	0.088
20160123	0.4485218417	0.344555423	0.0	-3.4	0.00	0.72	3.7	1.00	70.6	0.0	0.0	13.3	0.000	0.000	0.4485218417	0.363	0.085
20160124	0.4430469620	0.358911899	0.0	1.5	0.00	1.17	3.0	1.00	71.1	0.3	0.0	13.2	0.000	0.000	0.443046962	0.359	0.084
20160125	0.4286205532	0.344555423	0.0	-0.3	0.00	0.81	3.0	1.00	71.1	0.0	0.0	12.7	0.000	0.000	0.4286205532	0.347	0.081
20160126	0.4146638943	0.301485995	0.0	-0.5	0.00	0.79	3.0	1.00	71.1	0.0	0.0	12.3	0.000	0.000	0.4146638943	0.336	0.079
20160127	0.4396590707	0.294307757	0.0	3.1	0.00	1.88	0.0	0.00	72.8	1.2	0.0	13.1	0.000	0.000	0.4396590707	0.355	0.084
20160128	0.4253429777	0.294307757	0.0	3.9	1.31	1.31	0.0	0.00	71.5	0.0	0.0	12.6	0.000	0.000	0.4253429777	0.344	0.081
20160129	0.4114930426	0.294307757	0.0	7.8	5.50	5.50	0.0	0.00	66.0	0.0	0.0	12.2	0.000	0.000	0.4114930426	0.333	0.079
20160130	0.3980940864	0.279951281	0.0	5.8	2.29	2.29	0.0	0.00	63.7	0.0	0.0	11.8	0.000	0.000	0.3980940864	0.322	0.076
20160131	0.3851314244	0.258416567	0.0	5.8	1.24	1.24	0.0	0.00	62.5	0.0	0.0	11.4	0.000	0.000	0.3851314244	0.311	0.074
20160201	0.3826383473	0.236881853	1.5	5.0	1.15	1.15	0.0	0.00	62.5	0.3	0.0	11.4	0.000	0.000	0.3826383473	0.309	0.073
20160202	0.4557856835	0.394803089	9.9	3.5	1.06	1.06	0.0	0.00	68.7	2.6	0.0	13.5	0.000	0.000	0.4557856835	0.370	0.086
20160203	0.4409444789	0.366090137	0.0	-2.7	0.69	0.69	0.0	0.00	68.1	0.0	0.0	13.1	0.000	0.000	0.4409444789	0.358	0.083
20160204	0.4265865308	0.337377185	0.0	-2.7	1.19	1.19	0.0	0.00	66.9	0.0	0.0	12.7	0.000	0.000	0.4265865308	0.346	0.080
20160205	0.4126961034	0.344555423	0.0	-1.0	1.33	1.33	0.0	0.00	65.5	0.0	0.0	12.3	0.000	0.000	0.4126961034	0.335	0.078
20160206	0.3992579733	0.351733661	0.0	1.8	1.62	1.62	0.0	0.00	63.9	0.0	0.0	11.9	0.000	0.000	0.3992579733	0.324	0.075
20160207	0.3862574130	0.366090137	0.0	5.6	1.24	1.24	0.0	0.00	62.7	0.0	0.0	11.5	0.000	0.000	0.386257413	0.313	0.073
20160208	0.3736801745	0.358911899	0.0	1.5	1.07	1.07	0.0	0.00	61.6	0.0	0.0	11.1	0.000	0.000	0.3736801745	0.303	0.070
20160209	0.3615124735	0.344555423	0.0	-3.0	0.72	0.72	0.0	0.00	60.9	0.0	0.0	10.7	0.000	0.000	0.3615124735	0.293	0.068
20160210	0.3497409748	0.351733661	0.0	3.8	6.16	6.16	0.0	0.00	54.7	0.0	0.0	10.4	0.000	0.000	0.3497409748	0.284	0.066
20160211	0.3383527774	0.344555423	0.0	-0.5	0.97	1.02	0.0	0.00	53.8	0.0	0.0	10.1	0.000	0.000	0.3383527774	0.275	0.064
20160212	0.3273354002	0.330198947	0.0	-1.5	0.85	0.91	0.0	0.00	52.9	0.0	0.0	9.7	0.000	0.000	0.3273354002	0.266	0.062
20160213	0.3166767688	0.323020709	0.0	-5.4	0.68	0.74	0.0	0.00	52.2	0.0	0.0	9.4	0.000	0.000	0.3166767688	0.257	0.060
20160214	0.3063652016	0.330198947	0.0	1.3	4.18	4.60	0.0	0.00	48.0	0.0	0.0	9.1	0.000	0.000	0.3063652016	0.249	0.058
20160215	0.2963893976	0.337377185	0.0	6.9	1.65	1.98	0.0	0.00	46.4	0.0	0.0	8.8	0.000	0.000	0.2963893976	0.240	0.056
20160216	0.2879229171	0.323020709	0.8	6.0	1.14	1.40	0.0	0.00	46.0	0.0	0.0	8.6	0.000	0.000	0.2879229171	0.234	0.054
20160217	0.2785476272	0.301485995	0.0	9.2	3.63	4.53	0.0	0.00	42.4	0.0	0.0	8.3	0.000	0.000	0.2785476272	0.226	0.053
20160218	0.2694776137	0.315842471	0.0	17.1	2.35	3.19	0.0	0.00	40.0	0.0	0.0	8.0	0.000	0.000	0.2694776137	0.219	0.051
20160219	0.2607029362	0.279951281	0.0	16.6	1.43	2.05	0.0	0.00	38.6	0.0	0.0	7.7	0.000	0.000	0.2607029362	0.212	0.049
20160220	0.2522139780	0.265594805	0.0	13.2	4.49	6.68	0.0	0.00	34.1	0.0	0.0	7.5	0.000	0.000	0.252213978	0.205	0.048
20160221	0.2440014357	0.244060091	0.0	6.1	1.32	2.23	0.0	0.00	32.8	0.0	0.0	7.2	0.000	0.000	0.2440014357	0.198	0.046
20160222	0.2360563085	0.236881853	0.0	5.6	1.29	2.26	0.0	0.00	31.5	0.0	0.0	7.0	0.000	0.000	0.2360563085	0.192	0.044
20160223	0.2283698890	0.229703615	0.0	5.6	0.82	1.49	0.0	0.00	30.7	0.0	0.0	6.8	0.000	0.000	0.228369889	0.185	0.043
20160224	0.2209337532	0.222525377	0.0	3.1	0.87	1.63	0.0	0.00	29.8	0.0	0.0	6.6	0.000	0.000	0.2209337532	0.179	0.042
20160225	0.2137397514	0.200990663	0.0	-0.4	0.52	1.00	0.0	0.00	29.3	0.0	0.0	6.4	0.000	0.000	0.2137397514	0.173	0.040
20160226	0.2067799993	0.193812425	0.0	2.9	3.79	7.43	0.0	0.00	25.5	0.0	0.0	6.1	0.000	0.000	0.2067799993	0.168	0.039
20160227	0.2000468693	0.193812425	0.0	11.4	6.33	14.24	0.0	0.00	19.2	0.0	0.0	5.9	0.000	0.000	0.2000468693	0.162	0.038
20160228	0.1935329821	0.186634187	0.0	12.5	0.93	2.77	0.0	0.00	18.2	0.0	0.0	5.8	0.000	0.000	0.1935329821	0.157	0.036
20160229	0.1872311989	0.172277711	0.0	11.2	2.70	8.49	0.0	0.00	15.5	0.0	0.0	5.6	0.000	0.000	0.1872311989	0.152	0.035
20160301	0.1811346131	0.165099473	0.0	1.4	0.38	1.39	0.0	0.00	15.2	0.0	0.0	5.4	0.000	0.000	0.1811346131	0.147	0.034
20160302	0.1752365432	0.165099473	0.0	9.1	1.35	5.09	0.0	0.00	13.8	0.0	0.0	5.2	0.000	0.000	0.1752365432	0.142	0.033
20160303	0.1695380160	0.157921235	1.8	7.4	0.50	1.96	0.0	0.00	15.1	0.0	0.0	5.0	0.000	0.000	0.169538016	0.138	0.032
20160304	0.1640175522	0.150742997	0.0	9.8	1.99	7.55	0.0	0.00	13.1	0.0	0.0	4.9	0.000	0.000	0.1640175522	0.133	0.031
20160305	0.1586768446	0.136386522	0.0	9.5	1.98	8.64	0.0	0.00	11.1	0.0	0.0	4.7	0.000	0.000	0.1586768446	0.129	0.030
20160306	0.1535100401	0.14356476	0.0	16.9	0.50	2.60	0.0	0.00	10.6	0.0	0.0	4.6	0.000	0.000	0.1535100401	0.125	0.029
20160307	0.1485117627	0.14356476	0.3	20.2	0.51	2.69	0.0	0.00	10.4	0.0	0.0	4.4	0.000	0.000	0.1485117627	0.121	0.028
20160308	0.1436788086	0.129208284	2.3	13.9	0.43	2.14	0.0	0.00	12.3	0.0	0.0	4.3	0.000	0.000	0.1436788086	0.117	0.027
20160309	0.1390003672	0.129208284	0.0	9.8	0.49	2.30	0.0	0.00	11.8	0.0	0.0	4.1	0.000	0.000	0.1390003672	0.113	0.026
20160310	0.1344742644	0.114851808	0.0	11.2	1.79	8.67	0.0	0.00	10.0	0.0	0.0	4.0	0.000	0.000	0.1344742644	0.109	0.025
20160311	0.1300955396	0.10767357	0.0	13.5	1.11	6.34	0.0	0.00	8.9	0.0	0.0	3.9	0.000	0.000	0.1300955396	0.106	0.025
20160312	0.1258597893	0.114851808	1.0	12.4	0.38	2.30	0.0	0.00	9.5	0.0	0.0	3.7	0.000	0.000	0.1258597893	0.102	0.024
20160313	0.1217615674	0.114851808	0.0	14.8	0.41	2.48	0.0	0.00	9.1	0.0	0.0	3.6	0.000	0.000	0.1217615674	0.099	0.023
