Date	pH	HCO3-	Ca++	DOC	SOC(s)	SOC-lz(s)	Calcite(s)	Calcite-lz(s)	CO2(*g)
20160101	5.83	1.00E-20	1.20E-05	1.00E-20	1.00E-20	1.00E-20	1.00E-20	1.00E-20	1.00E-20
20160102	5.83	1.00E-20	1.20E-05	1.00E-20	1.00E-20	1.00E-20	1.00E-20	1.00E-20	1.00E-20
20160103	5.83	1.00E-20	1.20E-05	1.00E-20	1.00E-20	1.00E-20	1.00E-20	1.00E-20	1.00E-20
20160104	5.83	1.00E-20	1.20E-05	1.00E-20	1.00E-20	1.00E-20	1.00E-20	1.00E-20	1.00E-20
20160105	4.75	1.00E-20	1.63E-06	1.00E-20	1.00E-20	1.00E-20	1.00E-20	1.00E-20	1.00E-20
20160106	4.75	1.00E-20	1.63E-06	1.00E-20	1.00E-20	1.00E-20	1.00E-20	1.00E-20	1.00E-20
20160107	4.75	1.00E-20	1.63E-06	1.00E-20	1.00E-20	1.00E-20	1.00E-20	1.00E-20	1.00E-20
20160108	4.75	1.00E-20	1.63E-06	1.00E-20	1.00E-20	1.00E-20	1.00E-20	1.00E-20	1.00E-20
20160109	4.75	1.00E-20	1.63E-06	1.00E-20	1.00E-20	1.00E-20	1.00E-20	1.00E-20	1.00E-20
20160110	4.75	1.00E-20	1.63E-06	1.00E-20	1.00E-20	1.00E-20	1.00E-20	1.00E-20	1.00E-20
20160111	4.75	1.00E-20	1.63E-06	1.00E-20	1.00E-20	1.00E-20	1.00E-20	1.00E-20	1.00E-20
20160112	4.75	1.00E-20	1.63E-06	1.00E-20	1.00E-20	1.00E-20	1.00E-20	1.00E-20	1.00E-20
20160113	4.75	1.00E-20	1.63E-06	1.00E-20	1.00E-20	1.00E-20	1.00E-20	1.00E-20	1.00E-20
20160114	4.75	1.00E-20	1.63E-06	1.00E-20	1.00E-20	1.00E-20	1.00E-20	1.00E-20	1.00E-20
20160115	4.75	1.00E-20	1.63E-06	1.00E-20	1.00E-20	1.00E-20	1.00E-20	1.00E-20	1.00E-20
20160116	4.75	1.00E-20	1.63E-06	1.00E-20	1.00E-20	1.00E-20	1.00E-20	1.00E-20	1.00E-20
20160117	4.75	1.00E-20	1.63E-06	1.00E-20	1.00E-20	1.00E-20	1.00E-20	1.00E-20	1.00E-20
20160118	4.75	1.00E-20	1.63E-06	1.00E-20	1.00E-20	1.00E-20	1.00E-20	1.00E-20	1.00E-20
20160119	5.73	1.00E-20	1.26E-05	1.00E-20	1.00E-20	1.00E-20	1.00E-20	1.00E-20	1.00E-20
20160120	5.73	1.00E-20	1.26E-05	1.00E-20	1.00E-20	1.00E-20	1.00E-20	1.00E-20	1.00E-20
20160121	5.73	1.00E-20	1.26E-05	1.00E-20	1.00E-20	1.00E-20	1.00E-20	1.00E-20	1.00E-20
20160122	5.73	1.00E-20	1.26E-05	1.00E-20	1.00E-20	1.00E-20	1.00E-20	1.00E-20	1.00E-20
20160123	5.73	1.00E-20	1.26E-05	1.00E-20	1.00E-20	1.00E-20	1.00E-20	1.00E-20	1.00E-20
20160124	5.73	1.00E-20	1.26E-05	1.00E-20	1.00E-20	1.00E-20	1.00E-20	1.00E-20	1.00E-20
20160125	5.73	1.00E-20	1.26E-05	1.00E-20	1.00E-20	1.00E-20	1.00E-20	1.00E-20	1.00E-20
20160126	6.22	1.00E-20	1.41E-05	1.00E-20	1.00E-20	1.00E-20	1.00E-20	1.00E-20	1.00E-20
20160127	6.22	1.00E-20	1.41E-05	1.00E-20	1.00E-20	1.00E-20	1.00E-20	1.00E-20	1.00E-20
20160128	6.22	1.00E-20	1.41E-05	1.00E-20	1.00E-20	1.00E-20	1.00E-20	1.00E-20	1.00E-20
20160129	6.22	1.00E-20	1.41E-05	1.00E-20	1.00E-20	1.00E-20	1.00E-20	1.00E-20	1.00E-20
20160130	6.22	1.00E-20	1.41E-05	1.00E-20	1.00E-20	1.00E-20	1.00E-20	1.00E-20	1.00E-20
20160131	6.22	1.00E-20	1.41E-05	1.00E-20	1.00E-20	1.00E-20	1.00E-20	1.00E-20	1.00E-20
20160201	6.22	1.00E-20	1.41E-05	1.00E-20	1.00E-20	1.00E-20	1.00E-20	1.00E-20	1.00E-20
20160202	6.22	1.00E-20	1.41E-05	1.00E-20	1.00E-20	1.00E-20	1.00E-20	1.00E-20	1.00E-20
20160203	6.22	1.00E-20	1.41E-05	1.00E-20	1.00E-20	1.00E-20	1.00E-20	1.00E-20	1.00E-20
20160204	6.22	1.00E-20	1.41E-05	1.00E-20	1.00E-20	1.00E-20	1.00E-20	1.00E-20	1.00E-20
20160205	6.22	1.00E-20	1.41E-05	1.00E-20	1.00E-20	1.00E-20	1.00E-20	1.00E-20	1.00E-20
20160206	6.22	1.00E-20	1.41E-05	1.00E-20	1.00E-20	1.00E-20	1.00E-20	1.00E-20	1.00E-20
20160207	6.22	1.00E-20	1.41E-05	1.00E-20	1.00E-20	1.00E-20	1.00E-20	1.00E-20	1.00E-20
20160208	6.22	1.00E-20	1.41E-05	1.00E-20	1.00E-20	1.00E-20	1.00E-20	1.00E-20	1.00E-20
20160209	6.82	1.00E-20	2.15E-05	1.00E-20	1.00E-20	1.00E-20	1.00E-20	1.00E-20	1.00E-20
20160210	6.82	1.00E-20	2.15E-05	1.00E-20	1.00E-20	1.00E-20	1.00E-20	1.00E-20	1.00E-20
20160211	6.82	1.00E-20	2.15E-05	1.00E-20	1.00E-20	1.00E-20	1.00E-20	1.00E-20	1.00E-20
20160212	6.82	1.00E-20	2.15E-05	1.00E-20	1.00E-20	1.00E-20	1.00E-20	1.00E-20	1.00E-20
20160213	6.82	1.00E-20	2.15E-05	1.00E-20	1.00E-20	1.00E-20	1.00E-20	1.00E-20	1.00E-20
20160214	6.82	1.00E-20	2.15E-05	1.00E-20	1.00E-20	1.00E-20	1.00E-20	1.00E-20	1.00E-20
20160215	6.82	1.00E-20	2.15E-05	1.00E-20	1.00E-20	1.00E-20	1.00E-20	1.00E-20	1.00E-20
20160216	6.82	1.00E-20	2.15E-05	1.00E-20	1.00E-20	1.00E-20	1.00E-20	1.00E-20	1.00E-20
20160217	6.82	1.00E-20	2.15E-05	1.00E-20	1.00E-20	1.00E-20	1.00E-20	1.00E-20	1.00E-20
20160218	6.82	1.00E-20	2.15E-05	1.00E-20	1.00E-20	1.00E-20	1.00E-20	1.00E-20	1.00E-20
20160219	6.82	1.00E-20	2.15E-05	1.00E-20	1.00E-20	1.00E-20	1.00E-20	1.00E-20	1.00E-20
20160220	6.82	1.00E-20	2.15E-05	1.00E-20	1.00E-20	1.00E-20	1.00E-20	1.00E-20	1.00E-20
20160221	6.82	1.00E-20	2.15E-05	1.00E-20	1.00E-20	1.00E-20	1.00E-20	1.00E-20	1.00E-20
20160222	6.82	1.00E-20	2.15E-05	1.00E-20	1.00E-20	1.00E-20	1.00E-20	1.00E-20	1.00E-20
20160223	6.82	1.00E-20	2.15E-05	1.00E-20	1.00E-20	1.00E-20	1.00E-20	1.00E-20	1.00E-20
20160224	6.82	1.00E-20	2.15E-05	1.00E-20	1.00E-20	1.00E-20	1.00E-20	1.00E-20	1.00E-20
20160225	6.82	1.00E-20	2.15E-05	1.00E-20	1.00E-20	1.00E-20	1.00E-20	1.00E-20	1.00E-20
20160226	6.82	1.00E-20	2.15E-05	1.00E-20	1.00E-20	1.00E-20	1.00E-20	1.00E-20	1.00E-20
20160227	6.82	1.00E-20	2.15E-05	1.00E-20	1.00E-20	1.00E-20	1.00E-20	1.00E-20	1.00E-20
20160228	6.82	1.00E-20	2.15E-05	1.00E-20	1.00E-20	1.00E-20	1.00E-20	1.00E-20	1.00E-20
20160229	6.82	1.00E-20	2.15E-05	1.00E-20	1.00E-20	1.00E-20	1.00E-20	1.00E-20	1.00E-20
